idseq,datetime,subtype,srcip,srcport,srcintf,dstip,dstport,dstintf,action,sentpkt,rcvdpkt,duration,service,devtype,level,crscore,crlevel,is_attack
,2025-10-07 08:58:09,forward,91.231.89.235,27573,wan1,220.130.36.69,3269,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:58:09,forward,91.231.89.235,27573,wan1,220.130.36.69,3269,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:58:01,forward,204.76.203.212,53959,wan1,220.130.36.69,8080,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:58:01,forward,204.76.203.212,53959,wan1,220.130.36.69,8080,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:58:00,forward,165.154.246.243,58914,wan1,220.130.36.69,880,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:58:00,forward,165.154.246.243,58914,wan1,220.130.36.69,880,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:56,forward,91.231.89.243,4795,wan1,220.130.36.69,32768,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:56,forward,91.231.89.243,4795,wan1,220.130.36.69,32768,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:51,forward,165.154.246.253,58914,wan1,220.130.36.69,1935,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:51,forward,165.154.246.253,58914,wan1,220.130.36.69,1935,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:45,forward,8.211.46.83,44700,wan1,220.130.36.69,3134,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:45,forward,8.211.46.83,44700,wan1,220.130.36.69,3134,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:27,forward,35.203.211.236,51840,wan1,220.130.36.69,42452,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:27,forward,35.203.211.236,51840,wan1,220.130.36.69,42452,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:27,forward,176.65.149.55,45887,wan1,220.130.36.69,24551,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:27,forward,176.65.149.55,45887,wan1,220.130.36.69,24551,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:27,forward,185.156.73.197,59159,wan1,220.130.36.69,10534,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:27,forward,185.156.73.197,59159,wan1,220.130.36.69,10534,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:20,forward,10.4.168.70,9080,internal1,61.65.6.129,5060,wan1,accept,1932870,1927895,7246588,sip,unknown,notice,0,none,0
,2025-10-07 08:57:17,forward,162.216.150.82,49811,wan1,220.130.36.69,51864,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:17,forward,162.216.150.82,49811,wan1,220.130.36.69,51864,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:14,forward,161.35.113.145,55663,wan1,220.130.36.69,31307,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:14,forward,161.35.113.145,55663,wan1,220.130.36.69,31307,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:01,forward,39.97.193.87,33304,wan1,220.130.36.69,6379,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:01,forward,39.97.193.87,33304,wan1,220.130.36.69,6379,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:57:01,forward,42.51.33.156,56677,wan1,220.130.36.69,60321,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:57:01,forward,42.51.33.156,56677,wan1,220.130.36.69,60321,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:56:53,forward,92.63.197.66,8080,wan1,220.130.36.69,3698,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:56:53,forward,92.63.197.66,8080,wan1,220.130.36.69,3698,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:56:46,forward,176.97.210.9,39860,wan1,220.130.36.69,999,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:56:46,forward,176.97.210.9,39860,wan1,220.130.36.69,999,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:56:39,forward,10.4.168.70,9080,internal1,61.61.136.70,5060,wan1,accept,1288303,1287216,7246552,sip,unknown,notice,0,none,0
,2025-10-07 08:56:38,forward,92.63.197.66,8080,wan1,220.130.36.69,3164,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:56:38,forward,92.63.197.66,8080,wan1,220.130.36.69,3164,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:56:26,forward,88.210.63.63,59085,wan1,220.130.36.69,8073,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:56:26,forward,88.210.63.63,59085,wan1,220.130.36.69,8073,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:56:23,forward,94.102.49.88,53333,wan1,220.130.36.69,30000,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:56:23,forward,94.102.49.88,53333,wan1,220.130.36.69,30000,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:56:14,forward,47.250.81.18,15352,wan1,220.130.36.69,1313,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:56:14,forward,47.250.81.18,15352,wan1,220.130.36.69,1313,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:56:09,forward,79.124.40.106,47304,wan1,220.130.36.69,28010,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:56:09,forward,79.124.40.106,47304,wan1,220.130.36.69,28010,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:56:03,forward,92.63.197.66,8080,wan1,220.130.36.69,3340,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:56:03,forward,92.63.197.66,8080,wan1,220.130.36.69,3340,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:59,forward,185.242.226.85,54035,wan1,220.130.36.69,809,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:59,forward,185.242.226.85,54035,wan1,220.130.36.69,809,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:59,forward,10.4.168.70,9080,internal1,61.30.27.170,7760,wan1,accept,773900,72512,7246509,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:58,forward,147.93.130.16,53560,wan1,220.130.36.69,32510,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:58,forward,147.93.130.16,53560,wan1,220.130.36.69,32510,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:55,forward,204.76.203.83,36010,wan1,220.130.36.69,22,internal1,timeout,1,0,11,ssh,unknown,notice,0,none,0
,2025-10-07 08:55:55,forward,204.76.203.83,36010,wan1,220.130.36.69,22,internal1,ipconn,0,0,0,ssh,unknown,warning,5,low,1
,2025-10-07 08:55:46,forward,176.65.148.221,60487,wan1,220.130.36.69,19848,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:46,forward,176.65.148.221,60487,wan1,220.130.36.69,19848,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:44,forward,207.90.244.15,26200,wan1,220.130.36.69,12230,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:44,forward,207.90.244.15,26200,wan1,220.130.36.69,12230,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:34,forward,62.171.137.204,57430,wan1,220.130.36.69,53358,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:34,forward,62.171.137.204,57430,wan1,220.130.36.69,53358,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:32,forward,45.136.68.51,56340,wan1,220.130.36.69,20205,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:32,forward,45.136.68.51,56340,wan1,220.130.36.69,20205,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:31,forward,10.4.168.70,9080,internal1,61.65.15.173,5060,wan1,accept,1946729,1940490,7246486,sip,unknown,notice,0,none,0
,2025-10-07 08:55:18,forward,87.120.191.37,60637,wan1,220.130.36.69,1081,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:18,forward,87.120.191.37,60637,wan1,220.130.36.69,1081,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:17,forward,88.210.63.63,59085,wan1,220.130.36.69,8718,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:17,forward,88.210.63.63,59085,wan1,220.130.36.69,8718,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:16,forward,185.156.73.197,59159,wan1,220.130.36.69,10409,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:16,forward,185.156.73.197,59159,wan1,220.130.36.69,10409,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:10,forward,79.124.40.126,53725,wan1,220.130.36.69,9981,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:10,forward,79.124.40.126,53725,wan1,220.130.36.69,9981,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:10,forward,10.4.168.70,9080,internal1,61.65.6.129,5060,wan1,accept,1932838,1927863,7246458,sip,unknown,notice,0,none,0
,2025-10-07 08:55:03,forward,162.215.129.33,55900,wan1,220.130.36.69,8856,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:03,forward,162.215.129.33,55900,wan1,220.130.36.69,8856,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:55:01,forward,92.63.197.66,8080,wan1,220.130.36.69,3934,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:55:01,forward,92.63.197.66,8080,wan1,220.130.36.69,3934,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:56,forward,45.156.128.69,12316,wan1,220.130.36.69,1434,internal1,timeout,1,0,11,mssql,unknown,notice,0,none,0
,2025-10-07 08:54:56,forward,45.156.128.69,12316,wan1,220.130.36.69,1434,internal1,ipconn,0,0,0,mssql,unknown,warning,5,low,1
,2025-10-07 08:54:55,forward,112.4.101.39,44800,wan1,220.130.36.69,10245,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:55,forward,112.4.101.39,44800,wan1,220.130.36.69,10245,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:39,forward,10.4.168.70,9080,internal1,61.61.136.70,5060,wan1,accept,1288274,1287190,7246432,sip,unknown,notice,0,none,0
,2025-10-07 08:54:35,forward,45.194.70.254,44864,wan1,220.130.36.69,7335,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:35,forward,45.194.70.254,44864,wan1,220.130.36.69,7335,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:34,forward,92.63.197.66,8080,wan1,220.130.36.69,3150,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:34,forward,92.63.197.66,8080,wan1,220.130.36.69,3150,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
,2025-10-07 08:54:24,forward,167.94.138.133,13662,wan1,220.130.36.69,2087,internal1,timeout,1,0,11,unknown,unknown,notice,0,none,0
,2025-10-07 08:54:24,forward,167.94.138.133,13662,wan1,220.130.36.69,2087,internal1,ipconn,0,0,0,unknown,unknown,warning,5,low,1
